diff_type,partiful_id,old_id,current_id,old_name,current_name,old_date,current_date,old_time,current_time,old_location,current_location,old_company,current_company,event_url,source_url,current_weekday,current_time_bucket,current_hosts
removed,BcZRs4qjf2FHVZwZLQ9v,6258,,The Employee Advocacy Summit: Why Your Best Marketers Are Already on Your Payroll,,2026-06-03,,14:00:00,,SoHo,,VoiceScale,,https://partiful.com/e/BcZRs4qjf2FHVZwZLQ9v?c=bra5MNSD,https://www.tech-week.com/calendar/nyc,Wednesday,Afternoon,VoiceScale
changed:event_url,BkBgm4A6roB2plBcGf2e,5417,5417,Founder Reset,Founder Reset,2026-06-06,2026-06-06,09:00:00,09:00:00,Brooklyn,Brooklyn,Ginga,Ginga,https://partiful.com/e/BkBgm4A6roB2plBcGf2e,https://www.tech-week.com/calendar/nyc,Saturday,Morning,Ginga; MOTHER Tech; Bahia Taste
added,BlZgZXgnXauVuQtAvgTc,,6632,,The Argentine Edge: From Deep Tech to Global Scale,,2026-06-02,,09:15:00,,Midtown,,Consulate General of Argentina in New York,https://partiful.com/e/BlZgZXgnXauVuQtAvgTc,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Consulate General of Argentina in New York
changed:event_url,ByVS3R0LSmqvOoywWhDe,5769,5769,Startup Spotlight: Lithuania,Startup Spotlight: Lithuania,2026-06-05,2026-06-05,16:30:00,16:30:00,Midtown,Midtown,Consulate General of the Republic of Lithuania in New York,Consulate General of the Republic of Lithuania in New York,https://partiful.com/e/ByVS3R0LSmqvOoywWhDe,https://www.tech-week.com/calendar/nyc,Friday,Afternoon,Consulate General of the Republic of Lithuania in New York; Innovation Agency Lithuania
changed:name,CBiN0GMrUu8OZJUDP3Xm,4033,4033,"3D GenAI, Physical Ai & Spatial Computing Powered By Solaya X Betaworks","3D GenAI, Physical Ai & World Models Powered By Solaya X Betaworks",2026-06-01,2026-06-01,08:30:00,08:30:00,Meatpacking District,Meatpacking District,Solaya,Solaya,https://partiful.com/e/CBiN0GMrUu8OZJUDP3Xm,https://www.tech-week.com/calendar/nyc,Monday,Morning,SOLAYA; Betaworks
changed:date,CFCQZrHUAIGOer02VXgS,6089,6089,AI Founder & Funder Brunch,AI Founder & Funder Brunch,2026-06-02,2026-06-03,12:00:00,12:00:00,Chelsea,Chelsea,AI Furnace,AI Furnace,https://partiful.com/e/CFCQZrHUAIGOer02VXgS,https://www.tech-week.com/calendar/nyc,Wednesday,Noon,The AI Furnace; Foley Hoag
changed:name,CKczGayvJbdWdba2q8kr,4554,4554,The Light Stack,The Light Stack | 2026,2026-06-05,2026-06-05,17:00:00,17:00:00,Midtown,Midtown,Sentry,Sentry,https://partiful.com/e/CKczGayvJbdWdba2q8kr,https://www.tech-week.com/calendar/nyc,Friday,Evening,Sentry; Harness; Databricks Neon
changed:event_url,CNhLw58DXtAMPjBzhmSL,5510,5510,Before You Raise: What Investors Actually Check,Before You Raise: What Investors Actually Check,2026-06-05,2026-06-05,11:30:00,11:30:00,Virtual (NYC),Virtual (NYC),Ad Hoc Founders Counsel,Ad Hoc Founders Counsel,https://partiful.com/e/CNhLw58DXtAMPjBzhmSL,https://www.tech-week.com/calendar/nyc,Friday,Morning,Ad Hoc Founders Counsel
changed:event_url,CeXytpOv5qBtqRKKik9O,4094,4094,Grow Everything LIVE: Can AI Engineer the Future of Manufacturing?,Grow Everything LIVE: Can AI Engineer the Future of Manufacturing?,2026-06-03,2026-06-03,17:30:00,17:30:00,Flatiron,Flatiron,Roebling,Roebling,https://partiful.com/e/CeXytpOv5qBtqRKKik9O,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Roebling; Messaginglab
changed:time|event_url,Cig2PY1aZru3nhBQhMfj,5778,5778,WSC- AI vs Human Debate Night,WSC- AI vs Human Debate Night,2026-06-04,2026-06-04,17:00:00,17:30:00,Chelsea,Chelsea,Women's Society of Cyberjutsu,Women's Society of Cyberjutsu,https://partiful.com/e/Cig2PY1aZru3nhBQhMfj,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Women's Society of Cyberjutsu
added,ClDoZdTBs7mmjqoMw3k2,,6264,,"from PMF to Scale! If Your GTM doesn't scale, let's build an agentic GTM system",,2026-06-02,,17:30:00,,Chelsea,,DragonflyAI Consulting,https://partiful.com/e/ClDoZdTBs7mmjqoMw3k2,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,DragonflyAI Consulting; Civic Hall
added,Cm9Vo7iQf7tMc60ZdAcN,,6566,,AI Founder × VC Breakfast,,2026-06-04,,10:00:00,,SoHo,,You.com,https://partiful.com/e/Cm9Vo7iQf7tMc60ZdAcN,https://www.tech-week.com/calendar/nyc,Thursday,Morning,You.com
changed:event_url,CtLx3yTfJAKgapdVqcW6,4484,4484,Activant Poker Night,Activant Poker Night,2026-06-02,2026-06-02,19:00:00,19:00:00,SoHo,SoHo,Activant Capital,Activant Capital,https://partiful.com/e/CtLx3yTfJAKgapdVqcW6,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Activant Capital
added,D07x2JMguAYHV1tdU6Jm,,6550,,Women Building AI That Matters,,2026-06-02,,16:30:00,,Flatiron,,Opsera,https://partiful.com/e/D07x2JMguAYHV1tdU6Jm,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,Opsera; ProgramEarth; AWS
added,D901huF1IbzkfBRq0ikx,,6815,,Tech Week City Hall: A Fireside Chat with City Council Speaker Julie Menin,,2026-10-05,,12:00:00,,Tribeca,,New York City Council,https://partiful.com/e/D901huF1IbzkfBRq0ikx,https://www.tech-week.com/calendar/nyc,Monday,Noon,New York City Council; a16z
changed:date|time|event_url,DD5Ne8wjr1LBDSvYlQst,5332,5332,AI & HealthTech for Hospitals and Healthcare,AI & HealthTech for Hospitals and Healthcare,2026-06-02,2026-06-01,17:00:00,16:30:00,Midtown,Midtown,MedRock Ventures Inc.,MedRock Ventures Inc.,https://partiful.com/e/DD5Ne8wjr1LBDSvYlQst,https://www.tech-week.com/calendar/nyc,Monday,Afternoon,MedRock Ventures Inc.; Orbiss Inc.
changed:event_url,DIULMTXNf5mkt8da0Kbw,5393,5393,Private Investor-Founder Brunch by Yellow | Tech Week 2026,Private Investor-Founder Brunch by Yellow | Tech Week 2026,2026-06-03,2026-06-03,11:00:00,11:00:00,SoHo,SoHo,Yellow Network,Yellow Network,https://partiful.com/e/DIULMTXNf5mkt8da0Kbw,https://www.tech-week.com/calendar/nyc,Wednesday,Morning,Yellow Network
added,DItIrZ4soRc9FKWDzvoT,,19,,AI Agents: From Prototype to Production,,2026-06-03,,19:00:00,,Flatiron,,Phinite AI,https://partiful.com/e/DItIrZ4soRc9FKWDzvoT,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Phinite AI; NVIDIA; GMI; OSS4AI
changed:name,DKl5HdJGHTgI3mQXRIrV,4979,4979,Pitch Night: Creators + Capital - By Plug and Play x Raisi x OWM x Seed2Table,Pitch Night: Creators + Capital: By Raisi x OWM x Seed2Table x Plug and Play x Bright Data,2026-06-03,2026-06-03,18:00:00,18:00:00,Financial District,Financial District,Raisi,Raisi,https://partiful.com/e/DKl5HdJGHTgI3mQXRIrV,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Raisi; OWM; Plug and Play New York
added,DO8XlNCIKaedsYpjKgny,,6424,,Kamp Café (NYC Tech Week Kick Off Party @ High End Italian Bakery),,2026-06-01,,10:30:00,,Union Square,,Kamp,https://partiful.com/e/DO8XlNCIKaedsYpjKgny,https://www.tech-week.com/calendar/nyc,Monday,Morning,Kamp
added,DQLmNSvszUDBdewZ60Rb,,6754,,TECH WEEK VISIONARY HUB,,2026-06-04,,13:00:00,,East Village,,Vinrelo,https://partiful.com/e/DQLmNSvszUDBdewZ60Rb,https://www.tech-week.com/calendar/nyc,Thursday,Afternoon,Vinrelo
changed:event_url,DVbRrx7ORnvAHvEz8c8N,4424,4424,Lowenstein Sandler’s Annual Sip and Social with Women in VC,Lowenstein Sandler’s Annual Sip and Social with Women in VC,2026-06-02,2026-06-02,17:00:00,17:00:00,Midtown,Midtown,Lowenstein Sandler LLP,Lowenstein Sandler LLP,https://partiful.com/e/DVbRrx7ORnvAHvEz8c8N,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Lowenstein Sandler
added,DbJ8hrweBskIasfuf4cM,,6306,,Pet Tech Meet Up NYC,,2026-06-05,,17:00:00,,Central Park,,Pync Inc.,https://partiful.com/e/DbJ8hrweBskIasfuf4cM,https://www.tech-week.com/calendar/nyc,Friday,Evening,Pync Inc.
added,Dc2p7GbvzQiC32DBPCMJ,,6628,,The Future of PropTech,,2026-06-03,,18:00:00,,West Village,,Jetzy,https://partiful.com/e/Dc2p7GbvzQiC32DBPCMJ,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Jetzy; Sklut
added,DeSu8551onFwpwFq7tnW,,5504,,How to Live Longer & Happier: An evening on the future of personal intelligence.,,2026-06-03,,18:30:00,,SoHo,,moccet,https://partiful.com/e/DeSu8551onFwpwFq7tnW,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,moccet
changed:event_url,DlrEnx0mq1qn6Zi9Pwyy,4853,4853,Built By Us: Involving Young Adults in Mental Health Tech,Built By Us: Involving Young Adults in Mental Health Tech,2026-06-04,2026-06-04,19:00:00,19:00:00,SoHo,SoHo,Headstream by SecondMuse,Headstream by SecondMuse,https://partiful.com/e/DlrEnx0mq1qn6Zi9Pwyy,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Headstream by SecondMuse
changed:event_url,Dy7rUqrhVPwyYkQeucJK,4084,4084,AI & Biotech Runtime,AI & Biotech Runtime,2026-06-02,2026-06-02,07:30:00,07:30:00,Midtown,Midtown,Formation Bio,Formation Bio,https://partiful.com/e/Dy7rUqrhVPwyYkQeucJK,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Formation Bio
changed:name,E8NhJNHWGhMetLlrFvQ7,5529,5529,Fireside chat - When coding agents are the user?,Fireside chat: The Trust Transfer,2026-06-03,2026-06-03,16:00:00,16:00:00,Nomad,Nomad,Tanagram.ai,Tanagram.ai,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,https://www.tech-week.com/calendar/nyc,Wednesday,Afternoon,Tanagram.ai; Zo Computer
changed:date,EDvSG5uaWJ1DJVAlgj6q,5241,5241,The Founding Table: Brunch & Spa Experience,The Founding Table: Brunch & Spa Experience,2026-06-04,2026-06-03,09:00:00,09:00:00,Flatiron,Flatiron,Persona,Persona,https://partiful.com/e/EDvSG5uaWJ1DJVAlgj6q,https://www.tech-week.com/calendar/nyc,Wednesday,Morning,Persona
changed:event_url,EHqpUupSw2r4hWswjqZc,5699,5699,C10 Labs x Wells Fargo x NY Robotics — Pitch the Product,C10 Labs x Wells Fargo x NY Robotics — Pitch the Product,2026-06-05,2026-06-05,09:30:00,09:30:00,Midtown,Midtown,C10 Labs,C10 Labs,https://partiful.com/e/EHqpUupSw2r4hWswjqZc,https://www.tech-week.com/calendar/nyc,Friday,Morning,C10 Labs; Wells Fargo; New York Robotics
added,EKVRCkLXxR7HVL9Ogump,,6305,,OpenClaw for Investors (Amino Capital & UBS),,2026-06-02,,15:00:00,,Flatiron,,Amino Capital,https://partiful.com/e/EKVRCkLXxR7HVL9Ogump,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,Amino Capital
added,ERKlFfoI0Tbw9CKCvFnj,,6326,,Just Build It: Vibe Coding Lab for Founders,,2026-06-04,,09:30:00,,Flatiron,,Vibe Code Mama,https://partiful.com/e/ERKlFfoI0Tbw9CKCvFnj,https://www.tech-week.com/calendar/nyc,Thursday,Morning,Vibe Code Mama
changed:date,ET08mdx8yiVrNczoRIBj,4756,4756,Building in the Physical World with AI,Building in the Physical World with AI,2026-06-03,2026-06-04,11:30:00,11:30:00,Flatiron,Flatiron,NextView Ventures,NextView Ventures,https://partiful.com/e/ET08mdx8yiVrNczoRIBj,https://www.tech-week.com/calendar/nyc,Thursday,Morning,NextView Ventures
added,ETmLjJsMXWh9WB4nmFe0,,6611,,Equiply hiring tournament,,2026-06-02,,17:00:00,,Flatiron,,Equiply,https://partiful.com/e/ETmLjJsMXWh9WB4nmFe0,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Equiply
changed:event_url,EWOiH1i0q7dBW763j1HH,75,75,Tech Networking Event with NY City Council,Tech Networking Event with NY City Council,2026-06-05,2026-06-05,18:00:00,18:00:00,Upper Manhattan,Upper Manhattan,"ContraSearch, Inc.","ContraSearch, Inc.",https://partiful.com/e/EWOiH1i0q7dBW763j1HH,https://www.tech-week.com/calendar/nyc,Friday,Evening,"ContraSearch, Inc."
changed:name,EbLHvoBrSl7ZV6xScsgz,4904,4904,"Networking Breakfast , AI Job Market, industry trends and coffee",NYTW Kickoff Networking Breakfast,2026-06-01,2026-06-01,09:00:00,09:00:00,Hudson Yards,Hudson Yards,XL AI,XL AI,https://partiful.com/e/EbLHvoBrSl7ZV6xScsgz,https://www.tech-week.com/calendar/nyc,Monday,Morning,XL AI
changed:event_url,Ec1a7gzI7aTu6njnKuEK,5414,5414,Series Tee,Series Tee,2026-06-03,2026-06-03,18:00:00,18:00:00,Chelsea,Chelsea,Rillet,Rillet,https://partiful.com/e/Ec1a7gzI7aTu6njnKuEK,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Rillet
removed,Ejnq0raa0dpQ8sniSAau,4885,,"Intersecting Ecosystems Across Real Estate, Proptech & Crypto",,2026-06-02,,20:00:00,,Midtown,,Housing Us,,https://partiful.com/e/Ejnq0raa0dpQ8sniSAau,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Housing Us; Uncorrelated Alts
changed:event_url,EnJV7INx1Avqm2pTnmG9,4658,4658,Tcsi's Headshot Happy Hour,Tcsi's Headshot Happy Hour,2026-06-03,2026-06-03,17:30:00,17:30:00,Chelsea,Chelsea,The Cyber Security Intellects,The Cyber Security Intellects,https://partiful.com/e/EnJV7INx1Avqm2pTnmG9,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,The Cyber Security Intellects
changed:event_url,EstgcJd2gxjOPGIbPHmv,4620,4620,NYC AI/ML Hackathon,NYC AI/ML Hackathon,2026-06-05,2026-06-05,16:00:00,16:00:00,East Village,East Village,Intuit,Intuit,https://partiful.com/e/EstgcJd2gxjOPGIbPHmv,https://www.tech-week.com/calendar/nyc,Friday,Afternoon,Intuit
changed:time,EvKdVS3RCeqXCOdLL0Ao,4577,4577,Master VC Empanadas,Master VC Empanadas,2026-06-02,2026-06-02,19:00:00,18:00:00,Central Park,Central Park,Lazo Fintech Inc,Lazo Fintech Inc,https://partiful.com/e/EvKdVS3RCeqXCOdLL0Ao,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Lazo Fintech Inc
added,F6QBoXGfme8OED1Q4T6d,,6350,,Founders Boat Party,,2026-06-03,,20:00:00,,SoHo,,Persona,https://partiful.com/e/F6QBoXGfme8OED1Q4T6d,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Persona; Thera; Coinflow; Get Winner
changed:event_url,F9b11DvXSlOLRhvyp35Q,4939,4939,Style Your Tech,Style Your Tech,2026-06-03,2026-06-03,18:00:00,18:00:00,Midtown,Midtown,Hybrid Rituals,Hybrid Rituals,https://partiful.com/e/F9b11DvXSlOLRhvyp35Q,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Hybrid Rituals
added,FA2Q9jHGnpJig9RwCOax,,6574,,Truelogic presents Beyond the Demo: Building Agentic AI Teams That Actually Ship,,2026-06-04,,16:15:00,,Midtown,,TrueLogic,https://partiful.com/e/FA2Q9jHGnpJig9RwCOax,https://www.tech-week.com/calendar/nyc,Thursday,Afternoon,TrueLogic; Consulate General of Argentina in New York
changed:event_url,FBTY402HvwzsBljLJgWl,5260,5260,The Founding Table: Private Chef Dinner,The Founding Table: Private Chef Dinner,2026-06-02,2026-06-02,19:00:00,19:00:00,Flatiron,Flatiron,Persona,Persona,https://partiful.com/e/FBTY402HvwzsBljLJgWl,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Persona
changed:event_url,FCICxMPNjXHXmSYNvQPn,5054,5054,Omakase - A Michelin-starred dinner with AI Leaders,Omakase - A Michelin-starred dinner with AI Leaders,2026-06-02,2026-06-02,19:00:00,19:00:00,Lower East Side,Lower East Side,Lyzr,Lyzr,https://partiful.com/e/FCICxMPNjXHXmSYNvQPn,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Lyzr
changed:time,FDxH8qpnWSZ4DtT5Bp2a,5758,5758,Latino Tech Mixer Vol 4,Latino Tech Mixer Vol 4,2026-06-04,2026-06-04,17:30:00,18:00:00,Lower East Side,Lower East Side,Pygma,Pygma,https://partiful.com/e/FDxH8qpnWSZ4DtT5Bp2a,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Pygma; Colectivo
changed:time,FJbZcfppRGdMVP1o534z,4506,4506,Google Presents AI Learning Lab,Google Presents AI Learning Lab,2026-06-03,2026-06-03,14:15:00,14:00:00,Chelsea,Chelsea,Google,Google,https://partiful.com/e/FJbZcfppRGdMVP1o534z,https://www.tech-week.com/calendar/nyc,Wednesday,Afternoon,Google
added,FMRHU5PZmbpskRMORfqK,,6549,,The Autonomous enterprise: You're Not Late. You're Right on Time,,2026-06-04,,11:00:00,,Midtown,,WillDom,https://partiful.com/e/FMRHU5PZmbpskRMORfqK,https://www.tech-week.com/calendar/nyc,Thursday,Morning,WillDom; Consulate General of Argentina in New York; JeenAI
changed:date,FNVoGRinp7Ppozgs0wmb,4970,4970,Happy Hour with Verb,Happy Hour with Verb,2026-06-02,2026-06-01,20:00:00,20:00:00,Flatiron,Flatiron,Verb,Verb,https://partiful.com/e/FNVoGRinp7Ppozgs0wmb,https://www.tech-week.com/calendar/nyc,Monday,Evening,Verb
changed:event_url,FSzOO6xPn11iqxVdtQ9j,5437,5437,Enterprise AI Happy Hour,Enterprise AI Happy Hour,2026-06-02,2026-06-02,18:00:00,18:00:00,SoHo,SoHo,Credal,Credal,https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Credal
removed,FZ7WeO0BmZcJVabK8DSV,4910,,Yacht Party,,2026-06-07,,14:00:00,,Midtown,,Tavern Community,,https://partiful.com/e/FZ7WeO0BmZcJVabK8DSV,https://www.tech-week.com/calendar/nyc,Sunday,Afternoon,Tavern Community; The Neo Club
changed:event_url,Farh8WvzHqQZzPCekOTD,4482,4482,Fashion Tech: Loyalty in the AI Age,Fashion Tech: Loyalty in the AI Age,2026-06-02,2026-06-02,18:00:00,18:00:00,Lower East Side,Lower East Side,Tote,Tote,https://partiful.com/e/Farh8WvzHqQZzPCekOTD,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Tote; Beni; Arête Studios
changed:name|date|event_url,FmbvlZINAUmQsqMYdaNM,6193,6193,Aerospace & Defense: Certification and the Future of Flight,Future of Flight: From Innovation to Certification,2026-06-03,2026-06-02,10:00:00,10:00:00,Upper East Side,Upper East Side,Velocor & Maloy Aircraft,Velocor & Maloy Aircraft,https://partiful.com/e/FmbvlZINAUmQsqMYdaNM,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Velocor & Maloy Aircraft; Velocor
added,Fp5daroRFtl5IulOYhoD,,6816,,Exec Briefing on AI Transformation,,2026-10-08,,09:00:00,,Midtown,,Fin,https://partiful.com/e/Fp5daroRFtl5IulOYhoD,https://www.tech-week.com/calendar/nyc,Thursday,Morning,Fin
added,G2KyxGWf2wHA4lYjcd8F,,6465,,Healthcare AI Rooftop Happy Hour,,2026-06-02,,17:30:00,,SoHo,,Alaffia Health,https://partiful.com/e/G2KyxGWf2wHA4lYjcd8F,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Alaffia Health
added,G6SCgiK0QTXDg0MtyANy,,6431,,"Mandarin x Markets: China, Conversation, & Cocktails",,2026-06-03,,17:00:00,,Flatiron,,A Day With Aslan,https://partiful.com/e/G6SCgiK0QTXDg0MtyANy,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,A Day With Aslan
changed:name|event_url,G6SmnsyZ3s56lOfHuRLW,4915,4915,Burn & Build,Build & Burn,2026-06-01,2026-06-01,09:00:00,09:00:00,Chelsea,Chelsea,sam.,sam.,https://partiful.com/e/G6SmnsyZ3s56lOfHuRLW,https://www.tech-week.com/calendar/nyc,Monday,Morning,sam.
added,GA2rWFRC5nPohWnE3vJU,,6583,,The (Ethical) Guide To (AI) Hacking,,2026-06-03,,10:00:00,,Union Square,,Tequity,https://partiful.com/e/GA2rWFRC5nPohWnE3vJU,https://www.tech-week.com/calendar/nyc,Wednesday,Morning,Tequity
changed:time,GEDtdJiI0ZyMgIDvwZRh,5186,5186,"The New CS Skill Set: Build the System, Become the Strategist","The New CS Skill Set: Build the System, Become the Strategist",2026-06-04,2026-06-04,17:00:00,17:30:00,SoHo,SoHo,Women of Customer Success,Women of Customer Success,https://partiful.com/e/GEDtdJiI0ZyMgIDvwZRh,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Women of Customer Success
changed:name,GIL3nPFjeoczGdirM7Cr,6398,6398,Why Corporate × Startup Usually Fail -And How They Succeed? #NYCTechWeek,Why Corporate × Startup Usually Fail -And How They Succeed?,2026-06-02,2026-06-02,16:30:00,16:30:00,Midtown,Midtown,Elev X! by NEC X,Elev X! by NEC X,https://partiful.com/e/GIL3nPFjeoczGdirM7Cr,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,Elev X! by NEC X
changed:event_url,GSRIMLKsiwt2WYLiw8TC,5325,5325,The Operators Behind the Operators,The Operators Behind the Operators,2026-06-04,2026-06-04,12:00:00,12:00:00,Midtown,Midtown,New York Robotics,New York Robotics,https://partiful.com/e/GSRIMLKsiwt2WYLiw8TC,https://www.tech-week.com/calendar/nyc,Thursday,Noon,New York Robotics; EisnerAmper
changed:name,GmOIWn5hMegxDT7gDfTX,5971,5971,ATTAP Vibeathon,ATTAP (All Things to All People) Vibeathon & Agentathon,2026-06-01,2026-06-01,10:00:00,10:00:00,Chelsea,Chelsea,ATTAP-All Things to All People-attap.ai,ATTAP-All Things to All People-attap.ai,https://partiful.com/e/GmOIWn5hMegxDT7gDfTX,https://www.tech-week.com/calendar/nyc,Monday,Morning,ATTAP-All Things to All People-attap.ai
changed:time|location,Gw543fouMG4silmVEQ9P,5799,5799,The Oasis @ NY Tech Week Day 4 - Creating with Flow,The Oasis @ NY Tech Week Day 4 - Creating with Flow,2026-06-04,2026-06-04,13:00:00,17:00:00,Flatiron,Midtown,Boardy,Boardy,https://partiful.com/e/Gw543fouMG4silmVEQ9P,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Boardy; Vibe Space; Flowstate; The AI Collective
changed:event_url,GxS3hkbPToEMmgTEeEsm,4755,4755,Sustainability Panel,Sustainability Panel,2026-06-03,2026-06-03,11:00:00,11:00:00,Midtown,Midtown,Propel Earth,Propel Earth,https://partiful.com/e/GxS3hkbPToEMmgTEeEsm,https://www.tech-week.com/calendar/nyc,Wednesday,Morning,Propel Earth
changed:event_url,GxT0MlpEgP8RgFxRH2QG,4732,4732,Hackathon & Career Fair,Hackathon & Career Fair,2026-06-02,2026-06-02,17:30:00,17:30:00,Midtown,Midtown,Propel Earth,Propel Earth,https://partiful.com/e/GxT0MlpEgP8RgFxRH2QG,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Propel Earth
changed:name,GxfjRxDRUK8wgxH6UMG6,4817,4817,Robots & Rollups — Physical AI Meets Onchain,Robots & Rollups,2026-06-03,2026-06-03,19:00:00,19:00:00,East Village,East Village,PrismaX,PrismaX,https://partiful.com/e/GxfjRxDRUK8wgxH6UMG6,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,PrismaX
changed:name|event_url,H2RtNpAkYJHw4iZapT8w,4141,4141,Arcangel x JP Morgan Yacht Networking Event,Arcangel AI Yacht Networking Event,2026-06-06,2026-06-06,18:00:00,18:00:00,Upper East Side,Upper East Side,Arcangel AI,Arcangel AI,https://partiful.com/e/H2RtNpAkYJHw4iZapT8w,https://www.tech-week.com/calendar/nyc,Saturday,Evening,Arcangel AI; JP Morgan; SHOPLINE
changed:name|event_url,HNzBBTq1gXdenq3tLu9i,6299,6299,"""New Money"" — A Fintech Founders Mixer","""New Money"" — A Fintech Founders & Investors Mixer",2026-06-05,2026-06-05,18:00:00,18:00:00,Financial District,Financial District,Rolla,Rolla,https://partiful.com/e/HNzBBTq1gXdenq3tLu9i,https://www.tech-week.com/calendar/nyc,Friday,Evening,Rolla
changed:event_url,HQPPxEZjvR5AnmRkv8Pp,5197,5197,Private CISO Dinner,Private CISO Dinner,2026-06-03,2026-06-03,18:30:00,18:30:00,Midtown,Midtown,Supermomos,Supermomos,https://partiful.com/e/HQPPxEZjvR5AnmRkv8Pp,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Supermomos
changed:name,HbxTd2UuJeIGLlNF9NFX,4119,4119,Agents of Change: Tech for Sustainability,Change Agents: Tech for Sustainability,2026-06-02,2026-06-02,16:00:00,16:00:00,Midtown,Midtown,GPM,GPM,https://partiful.com/e/HbxTd2UuJeIGLlNF9NFX,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,GPM; MIGSO-PCUBE
changed:name,HjFwJN8F4iK3LPhBy4D9,6248,6248,The Creatives Mixer,"Above the Noise : Creators, Founders & Investors Mixer",2026-06-06,2026-06-06,11:00:00,11:00:00,Chelsea,Chelsea,Velle,Velle,https://partiful.com/e/HjFwJN8F4iK3LPhBy4D9,https://www.tech-week.com/calendar/nyc,Saturday,Morning,Velle
changed:name|event_url,HqDbwbDLWBvTjsl2YeR5,42,42,Haus of Creators AI LABS hosted by Venus Rose and ilias anwar,"Haus of Creators AI LABS hosted by Venus Rose, ilias anwar, & Michael Carapellotti",2026-06-04,2026-06-04,18:00:00,18:00:00,SoHo,SoHo,"Haus of Creators Foundation, Inc.","Haus of Creators Foundation, Inc.",https://partiful.com/e/HqDbwbDLWBvTjsl2YeR5,https://www.tech-week.com/calendar/nyc,Thursday,Evening,"""Haus of Creators Foundation, Inc."""
added,HuAdcwZ2YjmPZobp316y,,6818,,AI Search: The 500-foot view,,2026-06-02,,18:00:00,,Midtown,,Modus Digital,https://partiful.com/e/HuAdcwZ2YjmPZobp316y,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Modus Digital; Semrush
changed:time,HwlNp8UC6vwWCBX97Dp9,4771,4771,Privacy Please,Privacy Please,2026-06-04,2026-06-04,22:00:00,21:30:00,Tribeca,Tribeca,Boundless Network,Boundless Network,https://partiful.com/e/HwlNp8UC6vwWCBX97Dp9,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Boundless Network; Stellar Development Foundation
changed:event_url,HyeK0R0M60v3y1c7s7rK,4504,4504,Scaling Deep Tech with Federal Funding,Scaling Deep Tech with Federal Funding,2026-06-02,2026-06-02,16:30:00,16:30:00,SoHo,SoHo,Inspiralia US,Inspiralia US,https://partiful.com/e/HyeK0R0M60v3y1c7s7rK,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,Inspiralia USA
added,IIdZd3lVrg4N50JYS9Fg,,6744,,Taste is the Moat: Building Consumer AI Beyond the Chatbot,,2026-06-03,,16:00:00,,Flatiron,,Fenwick,https://partiful.com/e/IIdZd3lVrg4N50JYS9Fg,https://www.tech-week.com/calendar/nyc,Wednesday,Afternoon,Fenwick
added,IJIotns2Lp1I4BmGGVJ9,,6276,,Founders House Launch,,2026-06-03,,06:30:00,,Midtown,,Founders House,https://partiful.com/e/IJIotns2Lp1I4BmGGVJ9,https://www.tech-week.com/calendar/nyc,Wednesday,Morning,Founder House
